Sentence,First_Sentence,Core_Elements,Element_Mappings,Hybrid_Hypothesis,Confidence_Score,Frame_Accepted,Ground_Truth,LLM_Response,Notes,Verb,Frame_Name,Frame_Definition,Core_Elements_Mappings
I drop the pencil.,this frame consists of words that indicate the change of an item's position on a scale.,,,this frame consists of words that indicates the change of an the pencil 's position on a scale .,0.1,False,True,"Reasoning: The sentence ""I drop the pencil"" describes a physical action resulting in a change of the pencil's location from a higher to a lower position. This action does not inherently involve a scale, attribute, initial value, final value, path, difference, speed, or correlate as defined in the ""Change_position_on_a_scale"" frame. The core of this frame involves abstract or measurable changes along a defined scale, which does not align with the simple physical action of dropping an object described in the sentence.

Confidence: 0.1",,drop,Change_position_on_a_scale,"This frame consists of words that indicate the change of an Item's position on a scale (the Attribute) from a starting point (Initial_value) to an end point (Final_value). The direction (Path) of the movement can be indicated as well as the magnitude of the change (Difference).  The rate of change of the value (Speed) is optionally indicated.  Another scale (Correlate), which the values are correlated with, is indicated if it is not the default correlate (namely, absolute time).  '' The distinction between Attributes and Items is not always an easy one. The clear cases involve the expression of the Attribute in an in-PP.  'Hawke's Bay winery doubled in size last year.'  'The amount you can deduct, then, depends on whether or not the stock has increased in value during the period you have owned it.'  Other clear cases of Attributes involve NP's like size, quality, number, value that denote abstract attributes rather than events or classes of things.   '' The analysis is more complicated when an event-denoting noun phrase occurs as the subject and the sentence has no in-PP. In the simplest cases, where the Attribute is the number of occurrences of the event, the Attribute is usually left implicit, as in exx. 1 and 2, the Attribute below.  '(1)Accidents increased 20% to 345.' '(1--second FE layer)Accidents increased 20% to 345.' '(2) Attacks on civilians decreased over the last 4 months  DNI.'  In cases  like (1), we will tag the Attribute on the second layer below the Final_value label, as that FE makes it clear that the Attribute is simply cardinality. In cases like (2), we tag it as DNI because in context the hearer has to understand a particular Attribute rather than just some or any appropriate Attribute of the Item.  Note that the above pattern can be compared to cases involving tangible Items, where the Attribute may similarly be missing when the incidence or frequency of the Item is specified.  '(3) Woodland birds increasedto their highest level since 1990 DNI.'   A more complicated case involving event-denoting subjects is when the Attribute measured is not the incidence of the type of event specified but rather an Attribute of an event-participant. In (4), it is not the number of times that turbot was caught that has changed but the amount of fish caught.  '(4) Turbot catches increased from around 100 tonnes in the 1960s to around 1,200 tonnes in the mid 1990s.' '(4-second FE layer) Turbot catches increased from around 100 tonnes in the 1960s to around 1,200 tonnes in the mid 1990s.'  (Note the 2nd layer annotation of the Attribute below the Initial_value and Final_value FEs, since they indicate that the Attribute is implicitly weight.)  Similarly, in (5), the report is (in context) about the total monetary value of the gifts, not about the number of donations made.  '(5)Overall Giving by Church Members increased  from 2000 to 2001'  As can be seen from the above examples, we consider the event nouns in uses such as (4) and (5) to also specify Items. Note that in cases like (4), we do not want to treat the subject NP ""turbot catches"" as an Attribute that includes information about the Item, since it would not make sense to restate (4) as follows:  '*Turbot increased in catches.'  Two more complications arise. First, certain nouns that do not, by their etymology, denote abstract attributes have a second sense in which they do denote an Attribute.  '(6) The population of Smallville increased fourfold to 807.'   Under one reading, (6a), the population could be understood as referring to ""the people"", in which case the Attribute cardinality is understood as unexpressed, as in (1),  (2), and (3).  The Attribute could be overtly specified:  '(6a) The population of Smallville increased fourfold in size to 807.'  Under another reading, (6b), population is an Attribute that habitats or locations possess. In this case, the whole NP ""the population of Smallville"" is treated as the Attribute and on the second layer ""of Smallville"" is tagged as Item.   '(6b) The population of Smallville increased fourfold to 807.' '(6b-second FE layer) The population of Smallville increased fourfold to 807.' Support for the possibility of this second reading comes from the fact that you can also state the facts as in (6c).  '(6c) Smallville increased fourfold in population to 807.'   The last complication is that Initial_value expressions can also function as the subject, which superficially look like expressions of Attribute.  '(7) The 1999 price had increased to $3400 by 2001.' '(7--second layer) The 1999 price had increased to $3400 by 2001.'  There is no Attribute ""1999 price"" here (though the concept is plausible in certain special statistical contexts where prices are indexed to prices of a particular year). (7) simply reports that the value of the price-Attribute changed from whatever it was in 1999 to the new value of $3400 by 2001. For sentence (7), Attribute would only be indicated as ""price"" on the 2nd layer. ",{'Item': 'the pencil'}
I drop the pencil.,a mother and father produce a child or an egg.,,,a mother and father produce a child or an egg .,0.0,False,False,"Reasoning: The ""Giving_birth"" frame involves a mother and father producing a child or an egg, focusing on the creation and birth of new life. The sentence ""I drop the pencil"" involves an individual performing a physical action that results in a pencil being moved from a higher to a lower position due to gravity. There are no semantic roles in the sentence that align with those of a mother, father, or a child/egg being produced. Therefore, the core meaning and context of the ""Giving_birth"" frame do not match the action described in the sentence.

Confidence: 0.0",,drop,Giving_birth,A Mother and Father produce a Child or an Egg. 'Betty bore Gerry three intelligent daughters.',"{'Mother': None, 'Child': None, 'Father': None, 'Egg': None}"
I drop the pencil.,"in this frame a theme moves in a certain direction which is often determined by gravity or other natural, physical forces.",,,"in this frame a the pencil moves in a certain direction which is often determined by gravity or other natural , physical forces .",0.9,True,True,"Reasoning: The sentence ""I drop the pencil"" aligns well with the ""Motion_directional"" frame. The pencil (Theme) moves in a certain direction (downward, due to gravity) as a result of the action described by the verb ""drop."" The action is not self-initiated by the pencil, fitting the frame's specification that the Theme is not necessarily a self-mover. The direction of motion is implied to be downward, which is a common understanding when objects are dropped, aligning with the frame's emphasis on movement often determined by gravity.

Confidence: 0.9",,drop,Motion_directional,"In this frame a Theme moves in a certain Direction which is often determined by gravity or other natural, physical forces. The Theme is not necessarily a self-mover.  ' The paper fell to the floor.'  ' The girl dropped 13 stories to her death.'","{'Theme': 'the pencil', 'Direction': None}"
I drop the pencil.,a protagonist changes the overall position and posture of the body.,,,a protagonist changes the overall position and posture of the body .,0.1,False,False,"Reasoning: The sentence ""I drop the pencil"" involves an action (dropping) performed by an agent (I) on an object (the pencil). The core action is about moving an object rather than changing the position or posture of the agent's body. The ""Change_posture"" frame focuses on a protagonist changing their own body's position or posture, which does not align with the action of dropping an object. Therefore, the semantic roles and the core action of the ""Change_posture"" frame do not map well to the elements and action described in the sentence.

Confidence: 0.1",,drop,Change_posture,A Protagonist changes the overall position and posture of the body.  'Smithers leaned forward to grab the folder on the far side.',{'Protagonist': None}
I drop the pencil.,this frame consists of words that indicate that an agent or a cause affects the position of an item on some scale.,,,this frame consists of words that indicates that I affect the position of an the pencil on some scale .,0.2,False,False,"Reasoning: The sentence ""I drop the pencil"" describes a physical action where an Agent (I) causes an Item (the pencil) to move, but it does not inherently involve a change of position on a scale in the sense of measuring a value or attribute that changes quantitatively from Value_1 to Value_2. The frame ""Cause_change_of_position_on_a_scale"" is more suited to contexts where there is a measurable change in an attribute or value of an item, such as weight, price, or temperature, rather than a simple physical relocation. The core semantic roles of Agent, Item, and the implied change of position do not align perfectly with the requirement of a scale, initial value, end value, or the other elements like Path, Difference, Speed, or Co_Variable that are central to the frame's definition.

Confidence: 0.2",,drop,Cause_change_of_position_on_a_scale,"This frame consists of words that indicate that an Agent or a Cause affects the position of an Item on some scale (the Attribute) to change it from an initial value (Value_1) to an end value (Value_2). The direction of the change (Path) can be encoded as well as the magnitude of the change (Difference). The rate of change of the value (Speed) can optionally be indicated as well as a second scale (Co_Variable), which the values are correlated with.  '' 'The company is raising the final dividend from 4.34p to 4.57p, to boost the total by 5.3 percent to 6.36p.'  'Similarly, a consumer boom will encourage the authorities to increase interest rates in order to keep money supply on target.'  'United Way of Central Indiana adds value to your investment.'","{'Agent': 'I', 'Item': 'the pencil', 'Cause': 'I'}"
I drop the pencil.,"an agent causes a theme to move from a source, along a path, to a goal.",,,"I cause a the pencil to move from a source , along a path , to a goal .",0.9,True,True,"Reasoning: In the sentence ""I drop the pencil,"" the Agent (""I"") causes the Theme (the pencil) to move, which aligns with the core definition of the Cause_motion frame. The action of dropping implies motion from a source (the Agent's hand or current position) to a goal (typically, the ground or a surface below the initial position), even though the source and goal are not explicitly mentioned. The frame's flexibility in leaving some elements like Source, Path, and/or Goal implicit supports this mapping. However, the specific manner of motion (dropping) implies a certain control at the Source but not throughout the motion, which is consistent with some examples provided in the frame definition.

Confidence: 0.9",,drop,Cause_motion,"An Agent causes a Theme to move from a Source, along a Path, to a Goal.  Different members of the frame emphasize the trajectory to different degrees, and a given instance of the frame will usually leave some of the Source, Path and/or Goal implicit. The completion of motion is not required (unlike the Placing frame, see below), although individual sentences annotated with this frame may emphasize the Goal.   '' This frame is very broad and contains several different kinds of words that refer to causing motion.  Some words in this frame do not emphasize the Manner/Means of causing the motion (transfer.v, move.v).  For many of the others (cast.v, throw.v, chuck.v, etc.), the Agent has control of the Theme only at the Source of motion, and does not experience overall motion.  For others (e.g. drag.v, push.v, shove.v, etc.) the Agent has control of the Theme throughout the motion; for these words, the Theme is resistant to motion due to some friction with the surface along which they move.    'She threw her shoes into the dryer .' 'The mechanic dragged the jack out from under the car .' 'We will move the sofa out of the room through the french doors, down the stairs, and onto the sidewalk .' '' ''  This frame is used in a very large number of productive metaphors, not all of which can be outlined here.  The most salient types include causing an entity, construed as a Theme, to change state from an initial state (Source) via an intermediate state (Path) to a final state (Goal): 'Hillary was catapulted to stardom and his life has never been the same since . CNI' 'She felt as though flung from health to illness and back by the day , by the hour .' 'Once our parents are dead , we are catapulted into becoming the older generation ourselves . CNI' 'Croquet was pushed out by tennis .' ''  A particularly divergent subtype casts changing someone's intentions as changing their location: 'Democratsforced the Senate into a rare closed door session .' 'He nudged Mrs Thatcher towards acceptance of a unified Germany .' ''  Another subtype is specifically about causing a change in quantity (the Theme) through some sequence of values (Source, Path, and Goal): 'Bonus payments would be handed out for pushing up voting levels CNI .' ''  Another type, with many subtypes, involves causing an action or state (construed as a Theme) to have an effect on another person or location or conceptual domain. In such cases, theGoal is used for the final affected domain, and Source for initial affected domain, Path for an intermediate affected domain, and Distance for degree of difference between original application of the action and final: 'Jake had been hurling these same insults at her now for years' 'One can not press this argument too far .' 'She shoved the thought to the very back of her mind .' 'She flung him a savage little smile .' All of the foregoing metaphorical uses are annotated in this frame and marked ""Metaphor"", since they seem to be semantically motivated and not lexically idiosyncratic. '' ''  This frame contrasts with the following frames which talk about an Agent changing a Theme's position with respect to a landmark (either Source or Goal): ''  In Placing, the figure (Theme) is profiled as the object, and ends up on the ground (Goal).  The focus is on the final stage of motion, in which the Theme ends up at the Goal, and usually stably remains there. 'Joyce placed the flowers onto the bed.' ''  In Filling, the ground (Goal) is profiled as the object, and the figure (Theme) ends up on the ground (Goal). 'John filled the box with old toys.' ''  In Removing, the figure (Theme) is profiled, and is removed from the ground (Source). 'Jennifer removed the flowers from the bed.' ''  In Emptying, the ground (Source) is profiled and the figure (Theme) is removed from it. 'Jason emptied the box of the old toys .' ''  Words of this frame also differ from the words of the Bringing frame in that they are more general:  either the Agent has a momentary interaction with the Theme that causes its motion, unlike the continuous causation of Bringing, or the Agent continuously acts on the Theme, but there is no supporting object that helps with the motion like the Carrier of the Bringing frame.  ","{'Agent': 'I', 'Theme': 'the pencil', 'Source': None, 'Path': None, 'Goal': None, 'Cause': None}"
I sharpen the pencil.,an agent or cause makes a patient sharper or duller.,,,I make a the pencil sharper or duller .,0.9,True,True,"Reasoning: The sentence ""I sharpen the pencil"" aligns well with the ""Cause_to_be_sharp"" frame. The Agent (""I"") performs an action that directly causes the Patient (""the pencil"") to become sharper, which is the core action described in the frame. The verb ""sharpen"" directly matches the frame's core meaning of making something sharper. There is no mention of an Instrument or Means in the sentence, but its absence does not affect the core action of causing something to be sharp, which is fulfilled by the Agent's action on the Patient.

Confidence: 0.9",,sharpen,Cause_to_be_sharp,An Agent or Cause makes a Patient sharper or duller.  An Instrument or Means may be mentioned.  'John is in the basement sharpening his axe.',"{'Agent': 'I', 'Patient': 'the pencil', 'Cause': 'I'}"
I break the guitar.,the words in this frame describe situations in which an agent or a cause injures a victim.,,,the words in this frame describe situations in which I or a cause injures a the guitar .,0.9,True,False,"Reasoning: The sentence ""I break the guitar"" aligns well with the ""Cause_harm"" frame, as it describes a situation where an Agent (I) causes harm to a Victim (the guitar). The action of breaking directly results in harm or injury to the guitar, fitting the core definition of the frame that involves an Agent causing injury to a Victim. The sentence does not specify a Body_part since the Victim is an object, not a being with body parts, but this does not detract from the overall match of the frame to the sentence.

Confidence: 0.9",,break,Cause_harm,"The words in this frame describe situations in which an Agent or a Cause injures a Victim. The Body_part of the Victim which is most directly affected may also be mentioned in the place of the Victim.  In such cases, the Victim is often indicated as a genitive modifier of the Body_part, in which case the Victim FE is indicated on a second FE layer. '' 'Rod saw his father beating his mother.'  'In the end Wormtongue is fed up with being beaten so he cuts Saruman's throat to free himself.'  'A mother stabbed to death by her husband made a secret will stating that he must never be allowed to care for their son.'","{'Agent': 'I', 'Victim': 'the guitar', 'Cause': None}"
I break the guitar.,this frame concerns acts and state_of_affairs for which protagonists are responsible and which either follow or violate some set of rules  or norms.,,,this frame concerns acts and state_of_affairs for which protagonists are responsible and which either follow or violate some set of rules   or norms .,0.1,False,False,"Reasoning: The sentence ""I break the guitar"" describes a physical action where the subject (I) performs an act (break) on an object (the guitar). This action does not inherently involve following or violating a set of rules or norms, which is the core of the Compliance frame. The Compliance frame is about acts and states of affairs in relation to rules or norms, focusing on the responsibility of protagonists towards these rules or norms. The act of breaking a guitar does not directly imply any adherence to or violation of rules or norms without additional context.

Confidence: 0.1",,break,Compliance,"This frame concerns Acts and State_of_Affairs for which Protagonists are responsible and which either follow or violate some set of rules  or Norms. '' 'A lot of people suspect that blocking savers' access to their money violates the new constitution's explicit ban on compulsory loans to the government.'  'Not that by adhering to the subject-before-predicate principle, the translator of the above extract has had to ignore the principle of end-weight.'","{'Protagonist': 'I', 'Act': 'break', 'State_of_affairs': None, 'Norm': None}"
I break the guitar.,an experiencer is involved in a bodily injury to a body_part.,,,an experiencer is involved in a bodily injury to a body_part .,0.0,False,False,"Reasoning: The sentence ""I break the guitar"" does not align with the ""Experience_bodily_harm"" frame because the core elements of the frame involve an experiencer receiving bodily injury, whereas the sentence describes an action where an object (the guitar) is being broken by the subject. There is no mention or implication of bodily harm to the subject or any other experiencer. Therefore, the semantic roles of experiencer and body_part from the frame do not map onto any elements in the sentence.

Confidence: 0.0",,break,Experience_bodily_harm,"An Experiencer is involved in a bodily injury to a Body_part.  (In some cases, no Body_part need be indicated.)  Often an Injuring_entity on which the Experiencer injures themselves is mentioned. 'I think that I hurt myself pretty bad back there.' 'He smacked his head on the mantel getting up from poking at the fire.'","{'Body_part': None, 'Experiencer': None}"
I break the guitar.,"an agent suddenly and often violently separates the whole_patient into two or more smaller pieces, resulting in the whole_patient no longer existing as such.",,,"I suddenly and often violently separates the the guitar into two or more smaller pieces , resulting in the the guitar no longer existing as such .",0.85,True,False,"Reasoning: The sentence ""I break the guitar"" aligns well with the ""Cause_to_fragment"" frame. The Agent (""I"") performs an action that results in the Whole_patient (""the guitar"") being separated into pieces, which matches the core definition of the frame. The sentence implies a sudden and possibly violent action leading to the fragmentation of the guitar, fitting the frame's emphasis on the nature of the separation. However, the sentence does not explicitly mention the violence of the action or the resulting pieces, which are part of the full frame definition but not strictly necessary for the core semantic roles to align.

Confidence: 0.85",,break,Cause_to_fragment,"An Agent suddenly and often violently separates the Whole_patient into two or more smaller Pieces, resulting in the Whole_patient no longer existing as such.  Several lexical items are marked with the semantic type Negative, which indicates that the fragmentation is necessarily judged as injurious to the original Whole_patient.  Compare this frame with Damaging, Render_non-functional, and Removing.  'He ripped up the letter faster than you can say ""Jack Robbins"". INI' 'Don't go in there or you 'll be torn to bits! CNI' 'She shattered the vase with a casual backhand blow to make it look like there had been a struggle. INI' 'Tear into 6"" strips, each about one inch wide, then bake at 400. CNI CNI'","{'Agent': 'I', 'Whole_patient': 'the guitar', 'Pieces': None}"
I break the guitar.,an agent affects an artifact so that it is no longer capable of performing its inherent function.,,,I affect an the guitar so that it is no longer capable of performing its inherent function .,1.0,True,False,"Reasoning: The sentence ""I break the guitar"" aligns well with the ""Render_nonfunctional"" frame. The Agent (""I"") performs an action that affects an Artifact (""the guitar"") in such a way that it is no longer capable of performing its inherent function, which is to produce music. This direct action and its effect on the Artifact's functionality perfectly match the core definition of the frame. The semantic roles of Agent and Artifact are clearly mapped to ""I"" and ""the guitar,"" respectively, and the overall meaning of the frame applies to the sentence without deviation.

Confidence: 1.0",,break,Render_nonfunctional,An Agent affects an Artifact so that it is no longer capable of performing its inherent function.  'I broke the TV.',"{'Agent': 'I', 'Artifact': 'the guitar'}"
I break the guitar.,an single subpart breaks off from a whole.,,,an single subpart breaks off from a whole .,0.2,False,False,"Reasoning: The sentence ""I break the guitar"" does not align with the ""Breaking_off"" frame as defined. The core of the ""Breaking_off"" frame involves a subpart separating from a whole, implying a partitive relationship where a piece becomes detached from a larger entity. In the given sentence, the action of breaking the guitar does not necessarily imply that a part of the guitar breaks off from it; rather, it suggests that the guitar as a whole is being broken, which could mean damage or destruction but not specifically a part detaching. Therefore, the semantic roles and the overall meaning of the ""Breaking_off"" frame do not perfectly map onto the elements and the context of the sentence.

Confidence: 0.2",,break,Breaking_off,An single Subpart breaks off from a Whole.  'The original sword may have chipped off of the statue long ago.',"{'Subpart': None, 'Whole': None}"
I break the guitar.,"a whole breaks apart into pieces, resulting in the loss of the whole.",,,"a the guitar breaks apart into pieces , resulting in the loss of the the guitar .",0.8,True,False,"Reasoning: The sentence ""I break the guitar"" directly implies an action where the guitar (the Whole) is subjected to a force causing it to break. This aligns with the core definition of the ""Breaking_apart"" frame, where a Whole breaks apart into Pieces, implying the loss of the Whole's original form or function. However, the sentence does not explicitly mention the guitar breaking into pieces or the loss of the guitar, which are key elements of the full frame definition. The action described matches the core action of breaking apart but lacks detail on the aftermath, which is crucial for a perfect match.

Confidence: 0.8",,break,Breaking_apart,"A Whole breaks apart into Pieces, resulting in the loss of the Whole (and in most cases, no piece that has a separate function).  'The plane violently broke apart in mid-air.'  'And then, I finally realized that it must have been the case that a meteorite broke apart into at least 3 large pieces.'  Many of these verbs can also refer metaphorically to the breaking apart of institutions. (See the frame for ""schism"".)","{'Whole': 'the guitar', 'Pieces': None}"
I smash the guitar.,the words in this frame describe situations in which an agent or a cause injures a victim.,,,the words in this frame describe situations in which I or a cause injures a the guitar .,0.9,True,False,"Reasoning: In the sentence ""I smash the guitar,"" the Agent (""I"") performs an action (smash) that directly causes harm to the Victim (""the guitar""). This aligns well with the core definition of the Cause_harm frame, which involves an Agent or Cause injuring a Victim. The action of smashing can be considered a form of causing harm, making the guitar the Victim of this action. The sentence does not specify a Body_part, as the Victim is an object, not a being with body parts, but this does not detract from the overall match of the frame to the sentence, as the core elements of Agent and Victim are clearly present and correctly aligned.

Confidence: 0.9",,smash,Cause_harm,"The words in this frame describe situations in which an Agent or a Cause injures a Victim. The Body_part of the Victim which is most directly affected may also be mentioned in the place of the Victim.  In such cases, the Victim is often indicated as a genitive modifier of the Body_part, in which case the Victim FE is indicated on a second FE layer. '' 'Rod saw his father beating his mother.'  'In the end Wormtongue is fed up with being beaten so he cuts Saruman's throat to free himself.'  'A mother stabbed to death by her husband made a secret will stating that he must never be allowed to care for their son.'","{'Agent': 'I', 'Victim': 'the guitar', 'Cause': None}"
I smash the guitar.,"while in motion, an impactor makes sudden, forcible contact with the impactee, or two impactors both move, mutually making forcible contact.",,,"while in motion , I make sudden , forcible contact with the the guitar , or two I both move , mutually making forcible contact .",1.0,True,True,"Reasoning: In the sentence ""I smash the guitar,"" the action of smashing involves ""I"" as the Impactor making sudden, forcible contact with ""the guitar,"" which serves as the Impactee. This aligns well with the core definition of the Impact frame, where an Impactor makes sudden, forcible contact with an Impactee. The verb ""smash"" directly implies a forceful, deliberate action, fitting the frame's emphasis on suddenness and force. Therefore, the semantic roles of Impactor and Impactee are perfectly mapped to the elements in the sentence, and the overall meaning of the frame applies to the action described.

Confidence: 1.0",,smash,Impact,"While in motion, an Impactor makes sudden, forcible contact with the Impactee, or two Impactors both move, mutually making forcible contact.   'The massive metal foot hit the ground with a huge thud.' ","{'Impactor': 'I', 'Impactee': 'the guitar', 'Impactors': 'I'}"
I smash the guitar.,"an agent suddenly and often violently separates the whole_patient into two or more smaller pieces, resulting in the whole_patient no longer existing as such.",,,"I suddenly and often violently separates the the guitar into two or more smaller pieces , resulting in the the guitar no longer existing as such .",1.0,True,False,"Reasoning: The sentence ""I smash the guitar"" aligns well with the ""Cause_to_fragment"" frame. The Agent (""I"") performs an action (smash) that results in the Whole_patient (""the guitar"") being separated into pieces, which matches the core definition of the frame. The action of smashing implies a sudden and often violent separation, leading to the guitar no longer existing in its original form, which is a perfect match for the frame's definition. The semantic roles of Agent, Whole_patient, and the implied result of fragmentation are all present and correctly mapped in the sentence.

Confidence: 1.0",,smash,Cause_to_fragment,"An Agent suddenly and often violently separates the Whole_patient into two or more smaller Pieces, resulting in the Whole_patient no longer existing as such.  Several lexical items are marked with the semantic type Negative, which indicates that the fragmentation is necessarily judged as injurious to the original Whole_patient.  Compare this frame with Damaging, Render_non-functional, and Removing.  'He ripped up the letter faster than you can say ""Jack Robbins"". INI' 'Don't go in there or you 'll be torn to bits! CNI' 'She shattered the vase with a casual backhand blow to make it look like there had been a struggle. INI' 'Tear into 6"" strips, each about one inch wide, then bake at 400. CNI CNI'","{'Agent': 'I', 'Whole_patient': 'the guitar', 'Pieces': None}"
